name,mlb_id,recent_games,recent_fpts,recent_fpg,group
Kirby Yates,489446,10,23.0,2.3,pitching
Andre Pallante,669467,3,23.0,7.67,pitching
Quinn Mathews,687273,4,23.0,5.75,pitching
Jahmai Jones,663330,13,22.5,1.73,hitting
Brock Rodden,801126,19,22.5,1.18,hitting
Jordan Lawlar,691783,17,22.5,1.32,hitting
Christian Moore,695681,15,22.5,1.5,hitting
José Tena,677588,18,22.5,1.25,hitting
Colt Keith,690993,24,22.0,0.92,hitting
Francisco Alvarez,682626,21,22.0,1.05,hitting
Cooper Hjerpe,687309,1,22.0,22.0,pitching
Cade Winquest,685464,5,22.0,4.4,pitching
Victor Vodnik,680767,10,22.0,2.2,pitching
Tyler Alexander,641302,13,22.0,1.69,pitching
Justin Bruihl,677865,13,22.0,1.69,pitching
Martín Pérez,527048,5,22.0,4.4,pitching
Hunter Dobbins,690928,3,22.0,7.33,pitching
Kyle Freeland,607536,2,22.0,11.0,pitching
J.T. Ginn,669372,4,22.0,5.5,pitching
Dansby Swanson,621020,6,21.5,3.58,hitting
Miguel Amaya,665804,13,21.5,1.65,hitting
Walker Jenkins,805805,10,21.0,2.1,hitting
Michael Fulmer,605242,8,21.0,2.62,pitching
Blake Weiman,676620,10,21.0,2.1,pitching
Kyle Hurt,669165,7,21.0,3.0,pitching
Javier Assad,665871,4,21.0,5.25,pitching
Jeffrey Springs,605488,4,21.0,5.25,pitching
Masyn Winn,691026,13,20.5,1.58,hitting
Mike Yastrzemski,573262,22,20.5,0.93,hitting
Javier Báez,595879,20,20.5,1.02,hitting
Isaac Collins,686555,24,20.5,0.85,hitting
Matt Shaw,807713,10,20.0,2.0,hitting
Brenton Doyle,686668,22,20.0,0.91,hitting
Jared Simpson,688692,2,20.0,10.0,pitching
Dennis Santana,642701,7,20.0,2.86,pitching
Ryan Yarbrough,642232,4,20.0,5.0,pitching
Zach Agnos,688642,8,20.0,2.5,pitching
Emerson Hancock,676106,4,20.0,5.0,pitching
Blade Tidwell,694918,5,20.0,4.0,pitching
Juan Brito,682877,4,19.5,4.88,hitting
Gavin Sheets,657757,14,19.5,1.39,hitting
Lane Thomas,657041,16,19.5,1.22,hitting
Petey Halpin,690984,20,19.5,0.97,hitting
Jose Siri,642350,27,19.5,0.72,hitting
Trevor Story,596115,8,19.0,2.38,hitting
Josh Rojas,668942,10,19.0,1.9,hitting
Connor Wong,657136,12,19.0,1.58,hitting
Weston Wilson,642215,15,19.0,1.27,hitting
Tim Mayza,641835,7,19.0,2.71,pitching
Josh Ekness,694795,14,19.0,1.36,pitching
Austin Warren,681810,8,19.0,2.38,pitching
Nick Pivetta,601713,1,19.0,19.0,pitching
Matthew Liberatore,669461,5,19.0,3.8,pitching
Jose Fernandez,699912,10,18.5,1.85,hitting
Alex Call,669743,13,18.5,1.42,hitting
Ramón Urías,602104,12,18.5,1.54,hitting
Heliot Ramos,671218,20,18.5,0.93,hitting
Nick Allen,669397,18,18.0,1.0,hitting
Drew Cavanaugh,701852,22,18.0,0.82,hitting
Brett Callahan,814430,17,18.0,1.06,hitting
Samuel Basallo,694212,16,18.0,1.12,hitting
Jake Bird,656234,8,18.0,2.25,pitching
Jonathan Hernández,642546,2,18.0,9.0,pitching
Jeremiah Estrada,669093,6,18.0,3.0,pitching
José Alvarado,621237,8,18.0,2.25,pitching
Pete Fairbanks,664126,5,18.0,3.6,pitching
Orlando Ribalta,687377,8,18.0,2.25,pitching
Dylan Lee,669276,11,18.0,1.64,pitching
Mason Adams,690279,3,18.0,6.0,pitching
Jack Perkins,678022,5,18.0,3.6,pitching
Shane Drohan,675660,5,18.0,3.6,pitching
Connor Prielipp,687570,6,18.0,3.0,pitching
Esteury Ruiz,665923,20,17.5,0.88,hitting
Nolan Gorman,669357,12,17.5,1.46,hitting
Dustin Harris,687957,11,17.0,1.55,hitting
Anthony Seigler,678011,9,17.0,1.89,hitting
Byron Buxton,621439,11,17.0,1.55,hitting
Merrill Kelly,518876,5,17.0,3.4,pitching
George Soriano,666277,13,17.0,1.31,pitching
Yaramil Hiraldo,682274,2,17.0,8.5,pitching
Greg Weissert,669711,9,17.0,1.89,pitching
Tyler Zuber,676604,14,17.0,1.21,pitching
Jacob Webb,657097,10,17.0,1.7,pitching
Jose Cabrera,703615,3,17.0,5.67,pitching
Edgar Quero,700337,4,16.5,4.12,hitting
Amed Rosario,642708,13,16.5,1.27,hitting
Austin Hays,669720,16,16.5,1.03,hitting
James McCann,543510,12,16.0,1.33,hitting
Sal Frelick,686217,9,16.0,1.78,hitting
Christian Vázquez,543877,13,16.0,1.23,hitting
LaMonte Wade Jr.,664774,20,16.0,0.8,hitting
Chad Dallas,689149,1,16.0,16.0,pitching
Wilber Dotel,696062,2,16.0,8.0,pitching
Anthony Gose,543238,5,16.0,3.2,pitching
Pierce Johnson,572955,11,16.0,1.45,pitching
Albert Suárez,544150,7,16.0,2.29,pitching
David Peterson,656849,5,16.0,3.2,pitching
Jase Bowen,687749,20,15.5,0.78,hitting
Ke'Bryan Hayes,663647,16,15.5,0.97,hitting
Enrique Hernández,571771,19,15.5,0.82,hitting
Nicky Lopez,670032,19,15.0,0.79,hitting
Nasim Nuñez,683083,24,15.0,0.62,hitting
Chase Shugart,663767,5,15.0,3.0,pitching
Taylor Rogers,573124,11,15.0,1.36,pitching
Caleb Thielbar,573204,10,15.0,1.5,pitching
Luke Weaver,596133,9,15.0,1.67,pitching
Orion Kerkering,689147,10,15.0,1.5,pitching
Jackson Kent,800600,5,15.0,3.0,pitching
Austin Martin,668885,5,14.5,2.9,hitting
Nick Yorke,694377,13,14.5,1.12,hitting
Blaze Alexander,677942,10,14.5,1.45,hitting
Danny Jansen,643376,11,14.5,1.32,hitting
Mark Vientos,668901,5,14.0,2.8,hitting
James Wood,695578,5,14.0,2.8,hitting
Austin Hedges,595978,13,14.0,1.08,hitting
Grant McCray,687529,12,14.0,1.17,hitting
Khristian Curtis,694753,2,14.0,7.0,pitching
Carlos Vargas,672841,7,14.0,2.0,pitching
Craig Yoho,684974,11,14.0,1.27,pitching
Alex Lange,656638,9,14.0,1.56,pitching
Enyel De Los Santos,660853,11,14.0,1.27,pitching
Antonio Senzatela,622608,12,14.0,1.17,pitching
Rhett Lowder,695076,5,14.0,2.8,pitching
Nick Morabito,703492,5,13.5,2.7,hitting
Miguel Rojas,500743,19,13.5,0.71,hitting
Spencer Horwitz,687462,20,13.5,0.68,hitting
Henry Davis,680779,14,13.5,0.96,hitting
Taylor Ward,621493,18,13.5,0.75,hitting
Alan Roden,702176,7,13.0,1.86,hitting
Bryan De La Cruz,650559,13,13.0,1.0,hitting
Isiah Kiner-Falefa,643396,6,13.0,2.17,hitting
Victor Caratini,605170,9,13.0,1.44,hitting
Jose Trevino,624431,12,13.0,1.08,hitting
Jimmy Crooks,699625,13,13.0,1.0,hitting
Landon Knack,689017,1,13.0,13.0,pitching
Colin Rea,607067,6,13.0,2.17,pitching
Cole Winn,668390,8,13.0,1.62,pitching
Ryan Fernandez,681676,6,13.0,2.17,pitching
Jack Ralston,667652,7,13.0,1.86,pitching
José A. Ferrer,678606,13,13.0,1.0,pitching
Travis Adams,701519,8,13.0,1.62,pitching
Kyle Finnegan,640448,12,13.0,1.08,pitching
Ryan Zeferjahn,666171,12,13.0,1.08,pitching
Derek Law,571882,5,13.0,2.6,pitching
Jameson Taillon,592791,2,13.0,6.5,pitching
Patrick Sandoval,663776,5,13.0,2.6,pitching
Ha-Seong Kim,673490,12,12.5,1.04,hitting
Tyler Soderstrom,691016,4,12.5,3.12,hitting
Ryan McMahon,641857,14,12.5,0.89,hitting
Andrew Knizner,668800,16,12.5,0.78,hitting
John Peck,807726,8,12.0,1.5,hitting
Freddy Fermin,666023,16,12.0,0.75,hitting
Jesús Sánchez,660821,17,12.0,0.71,hitting
Tyler O'Neill,641933,11,12.0,1.09,hitting
Shay Whitcomb,694376,15,12.0,0.8,hitting
Tyler Heineman,623168,18,12.0,0.67,hitting
Taylor Trammell,666211,25,12.0,0.48,hitting
Tyler Davis,699823,4,12.0,3.0,pitching
Elieser Hernández,622694,1,12.0,12.0,pitching
Dax Fulton,690978,4,12.0,3.0,pitching
Geoff Hartlieb,664129,3,12.0,4.0,pitching
Manuel Rodríguez,655889,4,12.0,3.0,pitching
Tatsuya Imai,837227,3,12.0,4.0,pitching
Tejay Antone,622088,14,12.0,0.86,pitching
Cade Gibson,806188,11,12.0,1.09,pitching
Jordan Hicks,663855,9,12.0,1.33,pitching
Masataka Yoshida,807799,6,11.5,1.92,hitting
Daz Cameron,663662,8,11.5,1.44,hitting
Christian Franklin,681047,11,11.5,1.05,hitting
Brandon Valenzuela,678218,16,11.5,0.72,hitting
Will Smith,669257,7,11.5,1.64,hitting
Andrew Pinckney,687605,11,11.0,1.0,hitting
Daniel Espino,682982,2,11.0,5.5,pitching
Jose Cuas,621016,10,11.0,1.1,pitching
Joe Mantiply,573009,3,11.0,3.67,pitching
Kody Funderburk,681892,12,11.0,0.92,pitching
Yunior Marte,805074,2,11.0,5.5,pitching
Andrew Sears,808825,3,11.0,3.67,pitching
Logan O'Hoppe,681351,8,10.5,1.31,hitting
Leo Jiménez,677870,14,10.5,0.75,hitting
Yohandy Morales,691002,5,10.0,2.0,hitting
Michael Stefanic,683021,7,10.0,1.43,hitting
Nick Fortes,663743,11,10.0,0.91,hitting
Luke Murphy,684665,11,10.0,0.91,pitching
Trent Thornton,663423,11,10.0,0.91,pitching
Wandy Peralta,593974,7,10.0,1.43,pitching
Ethan Pecko,814490,4,10.0,2.5,pitching
Jhonny Pereda,640902,8,9.5,1.19,hitting
Jorge Barrosa,678489,14,9.5,0.68,hitting
Kenny Piper,700652,11,9.5,0.86,hitting
Jordan Beck,687597,16,9.5,0.59,hitting
Jake Rogers,668670,14,9.5,0.68,hitting
Oswald Peraza,672724,17,9.5,0.56,hitting
Sean Keys,815873,4,9.0,2.25,hitting
Nick Frasso,693308,11,9.0,0.82,pitching
Jack Weisenburger,674073,3,9.0,3.0,pitching
Bradley Blalock,687134,2,9.0,4.5,pitching
Samy Natera Jr.,696519,4,9.0,2.25,pitching
Kyle Bradish,680694,5,9.0,1.8,pitching
Jackson Jobe,695549,5,9.0,1.8,pitching
Maikel Garcia,672580,4,8.0,2.0,hitting
Buddy Kennedy,671083,10,8.0,0.8,hitting
Dillon Dingler,693307,25,8.0,0.32,hitting
Tobias Myers,668964,1,8.0,8.0,pitching
Austin Peterson,804926,1,8.0,8.0,pitching
Miguel Ullola,699044,2,8.0,4.0,pitching
Bobby Miller,676272,1,8.0,8.0,pitching
Beau Brieske,689225,3,8.0,2.67,pitching
Yunior Tur,814305,3,8.0,2.67,pitching
Chris Roycroft,688297,6,8.0,1.33,pitching
Jovani Morán,663558,11,8.0,0.73,pitching
Peyton Gray,682608,10,8.0,0.8,pitching
Tyron Guerrero,594027,10,8.0,0.8,pitching
Roki Sasaki,808963,3,8.0,2.67,pitching
Peter Lambert,663567,5,8.0,1.6,pitching
Carmen Mlodzinski,669387,6,8.0,1.33,pitching
Elmer Rodríguez,695684,2,8.0,4.0,pitching
Eric Lauer,641778,4,8.0,2.0,pitching
Jonah Tong,804636,1,8.0,8.0,pitching
Bennett Sousa,656986,12,8.0,0.67,pitching
Everson Pereira,677592,10,7.5,0.75,hitting
Garrett Stubbs,596117,9,7.5,0.83,hitting
Kyle Karros,691720,5,7.5,1.5,hitting
Ryan Kreidler,668952,19,7.5,0.39,hitting
Carson Williams,700246,3,7.0,2.33,hitting
Samad Taylor,669392,5,7.0,1.4,hitting
Max Kepler,596146,11,7.0,0.64,hitting
Nelson Velázquez,676369,11,7.0,0.64,hitting
Cooper Criswell,681867,3,7.0,2.33,pitching
Jack Sinclair,695378,3,7.0,2.33,pitching
Jhony Brito,666745,2,7.0,3.5,pitching
Tyler Schweitzer,805326,5,7.0,1.4,pitching
Slade Cecconi,677944,2,7.0,3.5,pitching
Colin Holderman,670059,9,7.0,0.78,pitching
Tommy Nance,667297,9,7.0,0.78,pitching
Jefry Yan,642376,11,7.0,0.64,pitching
Davis Martin,663436,3,7.0,2.33,pitching
Joe Ryan,657746,1,7.0,7.0,pitching
Kade Anderson,807739,3,7.0,2.33,pitching
George Kirby,669923,5,7.0,1.4,pitching
Lazaro Montes,703155,5,6.5,1.3,hitting
Brian Navarreto,640459,15,6.5,0.43,hitting
Kyle Teel,691019,3,6.5,2.17,hitting
Gabriel Arias,672356,6,6.0,1.0,hitting
Leo Rivas,660844,6,6.0,1.0,hitting
Darell Hernaiz,687231,9,6.0,0.67,hitting
Alek Thomas,677950,7,6.0,0.86,hitting
Jacob Wilson,805779,5,6.0,1.2,hitting
TJ Friedl,670770,18,6.0,0.33,hitting
Carlos Narváez,665966,20,6.0,0.3,hitting
Miles Mikolas,571945,1,6.0,6.0,pitching
Jordan Montgomery,656756,7,6.0,0.86,pitching
Caleb Kilian,668873,1,6.0,6.0,pitching
Justin Topa,623437,2,6.0,3.0,pitching
Ricky Tiedemann,694357,3,6.0,2.0,pitching
Tanner Rainey,663432,6,6.0,1.0,pitching
JoJo Romero,668941,4,6.0,1.5,pitching
Ryan Walker,676254,6,6.0,1.0,pitching
Fernando Cruz,518585,6,6.0,1.0,pitching
Jonathan Cannon,686563,1,6.0,6.0,pitching
Brandon Williamson,682227,2,6.0,3.0,pitching
Jake Irvin,663623,6,6.0,1.0,pitching
Gage Jump,695611,5,6.0,1.2,pitching
David Fry,681807,10,5.5,0.55,hitting
Pedro Pagés,686780,12,5.5,0.46,hitting
Nate Furman,801501,12,5.5,0.46,hitting
Starling Marte,516782,4,5.5,1.38,hitting
Sung-Mun Song,823550,10,5.5,0.55,hitting
Rece Hinds,677956,2,5.0,2.5,hitting
Gustavo Campero,672569,4,5.0,1.25,hitting
Yohel Pozo,650968,9,5.0,0.56,hitting
César Prieto,693409,5,5.0,1.0,hitting
Blas Castaño,680604,2,5.0,2.5,pitching
Juan Burgos,686228,2,5.0,2.5,pitching
Joel Kuhnel,669270,2,5.0,2.5,pitching
Lyon Richardson,680689,1,5.0,5.0,pitching
Mitch Farris,815083,2,5.0,2.5,pitching
Zach Maxwell,687209,2,5.0,2.5,pitching
Chris Devenski,606965,5,5.0,1.0,pitching
Peter Strzelecki,657265,4,5.0,1.25,pitching
Sammy Peralta,671111,8,5.0,0.62,pitching
Cody Bradford,674003,5,5.0,1.0,pitching
Michael Soroka,647336,3,5.0,1.67,pitching
Matt Wilkinson,683363,4,5.0,1.25,pitching
Brady Singer,663903,6,5.0,0.83,pitching
Anthony Kay,641743,5,5.0,1.0,pitching
Jihwan Bae,678225,4,4.5,1.12,hitting
Cam Cauley,695508,7,4.5,0.64,hitting
Alex Freeland,690976,7,4.5,0.64,hitting
Brewer Hicklen,676551,4,4.0,1.0,hitting
Jarred Kelenic,672284,10,4.0,0.4,hitting
Jorge Polanco,593871,5,4.0,0.8,hitting
Christopher Morel,666624,9,4.0,0.44,hitting
Brendan Beck,694341,1,4.0,4.0,pitching
Kervin Castro,665645,1,4.0,4.0,pitching
Brandon Eisert,685126,2,4.0,2.0,pitching
Ty Johnson,694494,1,4.0,4.0,pitching
Antwone Kelly,699008,1,4.0,4.0,pitching
Zach McCambley,685112,1,4.0,4.0,pitching
Joe Boyle,671212,1,4.0,4.0,pitching
Sam Hentges,656529,8,4.0,0.5,pitching
Kent Emanuel,592288,1,4.0,4.0,pitching
Justin Hagenman,663795,2,4.0,2.0,pitching
Cade Povich,700249,2,4.0,2.0,pitching
Carson Whisenhunt,687931,3,4.0,1.33,pitching
Bryce Elder,693821,4,4.0,1.0,pitching
Corey Julks,667452,4,3.5,0.88,hitting
Cristian Pache,665506,8,3.0,0.38,hitting
Deyvison De Los Santos,691277,5,3.0,0.6,hitting
Ronny Simon,682927,5,3.0,0.6,hitting
Kevin Alcántara,682634,4,3.0,0.75,hitting
Jared Serna,691858,5,3.0,0.6,hitting
Michael Toglia,669911,10,3.0,0.3,hitting
Luke Maile,571912,1,3.0,3.0,pitching
Dylan Ross,697811,1,3.0,3.0,pitching
Justin Slaten,686580,1,3.0,3.0,pitching
Blake Treinen,595014,1,3.0,3.0,pitching
Luis Gil,661563,1,3.0,3.0,pitching
Raymond Burgos,670103,3,3.0,1.0,pitching
Bradley Hanner,690440,3,3.0,1.0,pitching
Mitch Bratt,683352,4,3.0,0.75,pitching
Alex Jackson,656577,4,2.5,0.62,hitting
Austin Wynns,642851,5,2.5,0.5,hitting
Eric Wagaman,676572,3,2.5,0.83,hitting
Tyler Locklear,682988,5,2.0,0.4,hitting
Gabriel Gonzalez,694224,6,2.0,0.33,hitting
Denzel Clarke,672016,5,2.0,0.4,hitting
Jim Jarvis,805347,8,2.0,0.25,hitting
Marco Gonzales,594835,1,2.0,2.0,pitching
CJ Van Eyk,669310,1,2.0,2.0,pitching
Franco Aleman,680916,4,2.0,0.5,pitching
Adam Macko,671936,5,2.0,0.4,pitching
Huascar Brazobán,623211,8,2.0,0.25,pitching
Clayton Beeter,690925,10,2.0,0.2,pitching
Sam Moll,594580,11,2.0,0.18,pitching
Graham Ashcraft,668933,1,2.0,2.0,pitching
Kumar Rocker,677958,6,2.0,0.33,pitching
Steven Matz,571927,9,2.0,0.22,pitching
Jonathan Ornelas,680716,4,1.5,0.38,hitting
Ben Rortvedt,666163,13,1.5,0.12,hitting
Ryan Ritter,690022,10,1.5,0.15,hitting
Victor Bericoto,682674,9,1.5,0.17,hitting
James Triantos,701649,3,1.5,0.5,hitting
Bo Naylor,666310,1,1.0,1.0,hitting
Carlos Jorge,699115,3,1.0,0.33,hitting
Jonah Bride,681146,2,1.0,0.5,hitting
Jasson Domínguez,691176,2,1.0,0.5,hitting
Brandon Lockridge,663604,8,1.0,0.12,hitting
Luisangel Acuña,682668,8,1.0,0.12,hitting
Braxton Fulford,690924,3,1.0,0.33,hitting
Dominic Smith,642086,9,1.0,0.11,hitting
Raynel Delgado,669384,2,1.0,0.5,hitting
Bryce Teodosio,669326,1,1.0,1.0,hitting
Luis Vázquez,676679,1,1.0,1.0,hitting
Noah Murdock,668716,1,1.0,1.0,pitching
Philip Abner,691769,2,1.0,0.5,pitching
Ben Peoples,687239,4,1.0,0.25,pitching
TJ Shook,669298,1,1.0,1.0,pitching
Jesse Scholtens,669947,2,1.0,0.5,pitching
Carlos Hernández,672578,2,1.0,0.5,pitching
Luis De León,801725,3,1.0,0.33,pitching
Hunter Barco,682995,1,1.0,1.0,pitching
Drew Rom,680723,7,1.0,0.14,pitching
Ronel Blanco,669854,2,1.0,0.5,pitching
Matt Waldron,663362,5,1.0,0.2,pitching
Daniel Lynch IV,663738,5,1.0,0.2,pitching
Nick Lodolo,666157,5,1.0,0.2,pitching
Luis Castillo,622491,5,1.0,0.2,pitching
Matthew Lugo,683090,6,0.5,0.08,hitting
Daniel Schneemann,682177,5,0.5,0.1,hitting
Heston Kjerstad,677008,3,0.5,0.17,hitting
Rhys Hoskins,656555,5,0.5,0.1,hitting
Edwin Arroyo,695490,6,0.5,0.08,hitting
Ivan Johnson,671155,5,0.5,0.1,hitting
James Outman,681546,3,0.5,0.17,hitting
Victor Scott II,687363,6,0.0,0.0,hitting
BJ Murray Jr.,681230,4,0.0,0.0,hitting
Jack Brannigan,687394,1,0.0,0.0,hitting
Billy Cook,695257,9,0.0,0.0,hitting
Adrian Del Castillo,680728,1,0.0,0.0,hitting
Jake Meyers,676694,3,0.0,0.0,hitting
Owen Miller,680911,1,0.0,0.0,hitting
Tommy Pham,502054,1,0.0,0.0,hitting
Davis Schneider,676914,2,0.0,0.0,hitting
Max Schuemann,680474,1,0.0,0.0,hitting
Tyler Gilbert,656457,1,0.0,0.0,pitching
Tyler Ferguson,621053,1,0.0,0.0,pitching
JT Brubaker,664141,6,0.0,0.0,pitching
Jhonathan Díaz,646242,1,0.0,0.0,pitching
Nolan Hoffman,676510,3,0.0,0.0,pitching
Michael Grove,675627,1,0.0,0.0,pitching
Yennier Cano,666974,10,0.0,0.0,pitching
Andrew Abbott,671096,5,0.0,0.0,pitching
Travis d'Arnaud,518595,10,-0.5,-0.05,hitting
Michael Arroyo,703197,1,-0.5,-0.5,hitting
Will Banfield,677943,3,-0.5,-0.17,hitting
Jhostynxon Garcia,691373,2,-0.5,-0.25,hitting
Kyren Paris,677347,3,-0.5,-0.17,hitting
Ben Ross,805346,3,-0.5,-0.17,hitting
Dalton Rushing,687221,4,-0.5,-0.12,hitting
Daniel Susac,691740,1,-0.5,-0.5,hitting
Tommy Troy,694371,2,-0.5,-0.25,hitting
Vimael Machín,605353,1,-1.0,-1.0,hitting
Taylor Rashi,688497,1,-1.0,-1.0,pitching
Xzavion Curry,675540,1,-1.0,-1.0,pitching
Simeon Woods Richardson,680573,5,-1.0,-0.2,pitching
Blake Burkhalter,686628,1,-1.0,-1.0,pitching
Blake Walston,686796,1,-1.0,-1.0,pitching
Keaton Winn,676775,3,-1.0,-0.33,pitching
Ali Sánchez,645305,10,-1.5,-0.15,hitting
Konnor Griffin,804606,3,-1.5,-0.5,hitting
Lourdes Gurriel Jr.,666971,1,-1.5,-1.5,hitting
Patrick Wisdom,621550,4,-1.5,-0.38,hitting
Ethan Salas,806956,4,-2.0,-0.5,hitting
Trevor Martin,694680,1,-2.0,-2.0,pitching
David Morgan,688158,5,-2.0,-0.4,pitching
Seth Martinez,661527,1,-2.0,-2.0,pitching
Cole Sulser,642121,1,-2.0,-2.0,pitching
Riley Cornelio,683000,1,-2.0,-2.0,pitching
Alan Rangel,660604,1,-2.0,-2.0,pitching
Carlos Duran,679922,2,-2.0,-1.0,pitching
Ryan Feltner,663372,5,-2.0,-0.4,pitching
Dustin May,669160,5,-2.0,-0.4,pitching
Jeremiah Jackson,669236,8,-2.5,-0.31,hitting
Noelvi Marte,682622,6,-2.5,-0.42,hitting
Parker Mushinski,656786,5,-3.0,-0.6,pitching
Enmanuel De Jesus,646241,4,-3.0,-0.75,pitching
Seth Lonsway,675920,1,-3.0,-3.0,pitching
Braxton Roxby,694820,2,-3.0,-1.5,pitching
Colt Emerson,806068,4,-4.0,-1.0,hitting
Mason Black,696131,4,-4.0,-1.0,pitching
Chayce McDermott,694646,2,-4.0,-2.0,pitching
Drey Jameson,686753,1,-4.0,-4.0,pitching
Patrick Monteverde,687287,1,-4.0,-4.0,pitching
Justin Wrobleski,680736,4,-4.0,-1.0,pitching
Andrew Morris,702193,11,-4.0,-0.36,pitching
Lucas Erceg,668674,3,-5.0,-1.67,pitching
Ty Madden,680744,5,-5.0,-1.0,pitching
Isaac Mattson,676755,2,-5.0,-2.5,pitching
Kai-Wei Teng,678906,5,-5.0,-1.0,pitching
Edwin Díaz,621242,4,-5.0,-1.25,pitching
Kohl Drake,684442,1,-5.0,-5.0,pitching
Juan Mejia,675848,10,-6.0,-0.6,pitching
Gerardo Carrillo,672629,7,-6.0,-0.86,pitching
Tanner McDougal,701780,1,-6.0,-6.0,pitching
Garrett Acton,670183,3,-7.0,-2.33,pitching
Seth Halvorsen,678020,6,-7.0,-1.17,pitching
Danny Young,664849,1,-7.0,-7.0,pitching
Kyle Harrison,690986,5,-7.0,-1.4,pitching
Spencer Arrighetti,681293,4,-7.0,-1.75,pitching
Chase Lee,695445,2,-8.0,-4.0,pitching
Hoby Milner,571948,2,-8.0,-4.0,pitching
Daniel Palencia,694037,6,-9.0,-1.5,pitching
Seth Johnson,686751,4,-9.0,-2.25,pitching
Tomoyuki Sugano,608372,5,-9.0,-1.8,pitching
Logan Allen,671106,5,-9.0,-1.8,pitching
Griffin Jax,643377,1,-9.0,-9.0,pitching
Yilber Díaz,700270,1,-10.0,-10.0,pitching
AJ Smith-Shawver,700363,3,-10.0,-3.33,pitching
Nick Davila,689546,4,-11.0,-2.75,pitching
Michael Lorenzen,547179,5,-11.0,-2.2,pitching
Bryce Miller,682243,4,-11.0,-2.75,pitching
Brycen Mautz,802408,3,-11.0,-3.67,pitching
Zack Littell,641793,3,-12.0,-4.0,pitching
Easton McGee,668834,3,-12.0,-4.0,pitching
Lazaro Estrada,681751,2,-12.0,-6.0,pitching
Kade Morris,695034,3,-13.0,-4.33,pitching
Yovanny Cruz,672442,3,-14.0,-4.67,pitching
Tom Cosgrove,676680,8,-15.0,-1.88,pitching
Evan Sisk,681895,5,-16.0,-3.2,pitching
Caleb Ferguson,657571,7,-16.0,-2.29,pitching
Hayden Juenger,696522,5,-16.0,-3.2,pitching
Garrett Cleavinger,664076,9,-16.0,-1.78,pitching
Bryan King,687911,6,-16.0,-2.67,pitching
Max Kranick,668820,9,-17.0,-1.89,pitching
Tony Santillan,663574,6,-17.0,-2.83,pitching
Luis Perales,691384,3,-17.0,-5.67,pitching
Josh Simpson,681006,1,-17.0,-17.0,pitching
Edward Cabrera,665795,1,-17.0,-17.0,pitching
Spencer Bivens,702352,2,-18.0,-9.0,pitching
John King,667463,3,-19.0,-6.33,pitching
Blake Adams,687060,1,-19.0,-19.0,pitching
Michael Rucker,621074,9,-20.0,-2.22,pitching
Ron Marinaccio,676760,3,-20.0,-6.67,pitching
Hancel Rincon,684516,2,-20.0,-10.0,pitching
Shaun Anderson,641312,1,-20.0,-20.0,pitching
Robby Ahlstrom,695239,10,-21.0,-2.1,pitching
Seth Lugo,607625,5,-22.0,-4.4,pitching
Jedixson Paez,699151,1,-22.0,-22.0,pitching
Gabriel Hughes,687312,5,-25.0,-5.0,pitching
Mason Barnett,686930,2,-30.0,-15.0,pitching
José Suarez,660761,4,-34.0,-8.5,pitching
